68,95,82
106,75,87
79,83,77
101,104,106
104,92,98
78,82,68
80,75,68
95,90,87
83,80,92
71,87,95
106,103,103
78,84,83
76,68,83
81,92,96
79,76,82
96,105,96
72,70,68
91,90,88
80,68,79
97,94,88
90,99,88
86,81,81
106,106,94
68,75,75
91,93,84
91,93,91
106,95,95
81,77,80
81,80,94
85,76,73
102,91,90
89,86,87
106,102,86
74,72,68
106,106,102
92,96,80
92,102,95
90,92,87
106,106,106
76,81,87
100,96,92
79,74,74
71,69,68
68,71,73
75,74,72
87,95,100
91,92,87
106,106,97
79,88,95
90,91,97
93,77,97
95,106,102
81,74,74
94,94,94
98,83,92
84,76,82
91,100,99
93,87,81
99,99,99
74,72,72
70,74,68
91,96,95
102,101,91
80,80,68
102,90,105
92,84,87
99,94,94
106,106,98
68,68,74
97,100,106
87,90,86
106,106,105
88,80,85
99,106,106
90,88,102
104,103,100
85,79,85
75,85,94
68,74,68
98,94,106
82,83,83
99,105,98
105,100,101
68,76,74
76,84,93
86,88,98
