58,85,72
96,65,77
69,73,67
91,94,96
94,82,88
68,72,58
70,65,58
85,80,77
73,70,82
61,77,85
96,93,93
68,74,73
66,58,73
71,82,86
69,66,72
86,95,86
62,60,58
81,80,78
70,58,69
87,84,78
80,89,78
76,71,71
96,96,84
58,65,65
81,83,74
81,83,81
96,85,85
71,67,70
71,70,84
75,66,63
92,81,80
79,76,77
96,92,76
64,62,58
96,96,92
82,86,70
82,92,85
80,82,77
96,96,96
66,71,77
90,86,82
69,64,64
61,59,58
58,61,63
65,64,62
77,85,90
81,82,77
96,96,87
69,78,85
80,81,87
83,67,87
85,96,92
71,64,64
84,84,84
88,73,82
74,66,72
81,90,89
83,77,71
89,89,89
64,62,62
60,64,58
81,86,85
92,91,81
70,70,58
92,80,95
82,74,77
89,84,84
96,96,88
58,58,64
87,90,96
77,80,76
96,96,95
78,70,75
89,96,96
80,78,92
94,93,90
75,69,75
65,75,84
58,64,58
88,84,96
72,73,73
89,95,88
95,90,91
58,66,64
66,74,83
76,78,88
